Number of nodes,Number of Edges,Average Degree,Density,Cut-Ratio,Avg. internal density,Coverage,Performance,Modularity,Execution Time
455,49926,219.45494505494506,0.4833809362443724,0.526431718061674,0,0.44459800504747027,0.6641041777605654,0.07766526205770073,259.7264204323292
460,50957,221.55217391304348,0.482684474756086,0.31049009702815533,0,0.4578173754341896,0.6620820308799849,0.07560714634612109,266.3411250561476
465,51782,222.71827956989247,0.4799962921764924,0.3138283914982944,0,0.4717662508207485,0.6631905821282907,0.06983286370148874,271.1161170452833
470,52754,224.48510638297873,0.47864628226647915,0.5202558635394456,0,0.4505819463926906,0.6634577870525791,0.07872397573195827,286.5350593589246
475,53607,225.7136842105263,0.4761892071952032,0.3023360287511231,0,0.4741731490290447,0.6646768820786143,0.0752032312702913,285.21677216142416
480,55022,229.25833333333333,0.4786186499652053,0.30281254965659704,0,0.4831158445712624,0.6655967292971469,0.07417621112984446,295.17613019794226
485,56256,231.98350515463918,0.47930476271619665,0.5206611570247934,0,0.4586355233219568,0.6668058277242908,0.07820220750843317,318.1424409337342
490,57171,233.35102040816327,0.4772004507324402,0.30188583509513744,0,0.47940389358241065,0.6658737114477693,0.0748873237092581,319.21716672182083
495,58310,235.59595959595958,0.47691489796752956,0.5242914979757085,0,0.45237523580860917,0.6663067926225821,0.07937054847418563,343.90465146303177
500,59516,238.064,0.4770821643286573,0.5230460921843687,0,0.45488608105383427,0.6680080160320642,0.08016578273490074,356.0357791259885
